siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
173102310,Unité diffusible,1981-06-23,"['DIRECTION REGIONALE DES DOUANES TOULOUSE', 'DIRECTION REGIONALE DES DOUANES']",ETI,250 à 499 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
218301372,Unité diffusible,1947-01-01,['COMMUNE DE TOULON'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
214401325,Unité diffusible,1977-02-10,['COMMUNE DE PORNICHET'],ETI,250 à 499 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
217500016,Unité diffusible,1983-03-01,"['VILLE DE PARIS', 'COMMUNE DE PARIS']",GE,10 000 salariés et plus,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200053767,Unité diffusible,2016-01-01,['REGION AUVERGNE-RHONE-ALPES'],GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200053759,Unité diffusible,2016-01-01,"['REGION NOUVELLE-AQUITAINE', 'REGION AQUITAINE-LIMOUSIN-POITOU-CHARENTES']",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
229200506,Unité diffusible,1982-01-01,['DEPARTEMENT DES HAUTS-DE-SEINE'],ETI,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
263400939,Unité diffusible,1986-01-06,"[""CENTRE COMMUNAL D'ACTION SOCIALE""]",PME,50 à 99 salariés,['Action sociale sans hébergement n.c.a.'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
572104891,Unité diffusible,1957-01-01,['BANQUE DE FRANCE'],GE,10 000 salariés et plus,['Activités de banque centrale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
572139996,Unité diffusible,1957-01-01,['AUTOROUTES DU SUD DE LA FRANCE'],GE,2 000 à 4 999 salariés,['Services auxiliaires des transports terrestres'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
