siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
130006364,Unité diffusible,2009-04-01,['ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER'],ETI,1 000 à 1 999 salariés,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
302694674,Unité diffusible,1900-01-01,"['ETABLISSEMENTS DHUMEAUX', 'ETABLISSEMENT DHUMEAUX ET COMPAGNIE']",ETI,3 à 5 salariés,"['Commerce de gros (commerce interentreprises) alimentaire spécialisé divers', 'Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) de viandes de boucherie', ""Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
233500016,Unité diffusible,1978-01-01,"['REGION BRETAGNE', 'REGION DE BRETAGNE']",ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
321591646,Unité diffusible,1981-01-01,"['CLPS L ENJEU COMPETENCES', 'CLPS L ENJEU DES COMPETENCES', 'COMITE LIAISON PREFORMAT PROMOT SOCIALE']",ETI,250 à 499 salariés,"[""Formation continue d'adultes""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
775685316,Unité diffusible,1948-03-19,"['CAISSE AUTONOME NATIONALE SECURITE SOCIALE MINES', 'CAISS AUTONOM NAT SECURITE SOCIALE MINES', 'CAISS AUTONOM SECURIT SOCIAL MALADIE', 'CAISS AUTONOM SECURIT SOCIAL M']",ETI,5 000 à 9 999 salariés,"['Activité des médecins généralistes', 'Activités générales de sécurité sociale']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
499944734,Unité diffusible,2007-09-17,"['VIATRIS HEALTHCARE', 'MYLAN EMEA SAS', 'MYLAN FRANCE SAS']",GE,10 à 19 salariés,"['Conseil pour les affaires et autres conseils de gestion', 'Autres activités de soutien aux entreprises n.c.a.', 'Activités des sièges sociaux', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
808269559,Unité diffusible,2014-12-08,"['VIAPOSTE TRANSPORT MANAGEMENT', 'VIAPOST TRANSPORT MANAGEMENT', 'SFPOST.1']",GE,100 à 199 salariés,"['Affrètement et organisation des transports ', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
443447222,Unité diffusible,2002-09-18,"['DUC INDUSTRIE', 'CHALAVAN ET DUC INDUSTRIE']",ETI,100 à 199 salariés,['Transports routiers de fret interurbains'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
130006364,Unité diffusible,2009-04-01,['ETABLISSEMENT NATIONAL DES PRODUITS DE L AGRICULTURE ET DE LA MER FRANCEAGRIMER'],ETI,1 000 à 1 999 salariés,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
440399897,Unité diffusible,2002-01-01,"['JYCO', 'SOVIGEL SERVICES']",PME,3 à 5 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) alimentaire spécialisé divers']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
228500013,Unité diffusible,1978-01-01,['DEPARTEMENT DE VENDEE'],ETI,2 000 à 4 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
491120341,Unité diffusible,2006-07-01,"[""REV EVAS'YON"", ""ESPACE REV EVAS'YON""]",PME,50 à 99 salariés,['Autres transports routiers de voyageurs '],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
263400111,Unité diffusible,1982-01-01,"['CENTRE HOSPITALIER DE BEZIERS', 'CENTRE HOSPITALIER']",ETI,2 000 à 4 999 salariés,['Activités hospitalières'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
443590690,Unité diffusible,2002-06-03,"['CSE SWI EX SAF', 'SANOFI AVENTIS FRANCE', ""COMITE D'ENTREPRISE SANOFI SYNTHELABO""]",PME,3 à 5 salariés,['Activités des syndicats de salariés'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
808269559,Unité diffusible,2014-12-08,"['VIAPOSTE TRANSPORT MANAGEMENT', 'VIAPOST TRANSPORT MANAGEMENT', 'SFPOST.1']",GE,100 à 199 salariés,"['Affrètement et organisation des transports ', 'Activités des sociétés holding']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
732980479,Unité diffusible,1973-01-01,['TRANSPORTS CHALAVAN ET DUC'],ETI,500 à 999 salariés,['Transports routiers de fret interurbains'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
305080178,Unité diffusible,1900-01-01,['EDUCATION ET PLEIN AIR FINANCES'],PME,100 à 199 salariés,['Hébergement touristique et autre hébergement de courte durée '],"[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
410520852,Unité diffusible,1997-02-01,"['REUNIR-F.I.T.FRANCE INTERNATIONAL TRAVEL', 'FRANCE INTERNATIONAL TRAVEL']",PME,10 à 19 salariés,['Autres transports routiers de voyageurs '],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
200053759,Unité diffusible,2016-01-01,"['REGION NOUVELLE-AQUITAINE', 'REGION AQUITAINE-LIMOUSIN-POITOU-CHARENTES']",GE,5 000 à 9 999 salariés,['Administration publique générale'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
824228142,Unité diffusible,2017-01-01,['AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES'],GE,5 000 à 9 999 salariés,"[""Formation continue d'adultes""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
479678245,Unité diffusible,2004-10-28,['CONCEPT ECOUTE SERVICE'],,,['Commerce de gros (commerce interentreprises) de produits pharmaceutiques'],[]
542034921,Unité diffusible,1954-01-01,"['TOTALENERGIES MARKETING SERVICES', 'TOTAL MARKETING SERVICES', 'TOTAL RAFFINAGE MARKETING', 'TOTAL FRANCE', 'TOTAL RAFFINAGE DISTRIBUTION SA', 'CIE RAFFINAGE DISTRIBUTION TOTAL FRANCE']",GE,1 000 à 1 999 salariés,"['Activités des sièges sociaux', ""Centrales d'achat non alimentaires"", 'Commerce de gros (commerce interentreprises) de combustibles et de produits annexes', 'Raffinage du pétrole']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
268000148,Unité diffusible,1953-09-02,['CENTRE HOSPITALIER UNIVERSITAIRE'],GE,5 000 à 9 999 salariés,['Activités hospitalières'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
478103294,Unité diffusible,2004-09-01,['COMTRONIC'],PME,,"[""Intermédiaires spécialisés dans le commerce d'autres produits spécifiques""]",[]
130018435,Unité diffusible,2013-09-01,"['GIP LABEO', 'GIP LABORATOIRES NORMANDS ASSOCIES']",PME,250 à 499 salariés,"['Analyses, essais et inspections techniques']",[]
340275924,Unité diffusible,1987-01-30,"['SIGMA ALDRICH CHIMIE', 'SIGMA CHIMIE']",GE,100 à 199 salariés,['Commerce de gros (commerce interentreprises) de produits chimiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
753983808,Unité diffusible,1991-10-10,['ASSOCIATION SPORTIVE DU LYCEE DES ARENES'],,,"[""Enseignement de disciplines sportives et d'activités de loisirs""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
552044992,Unité diffusible,1955-01-01,['POMONA'],GE,5 000 à 9 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) non spécialisé', 'Commerce de gros (commerce interentreprises) de fruits et légumes']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
130005481,Unité diffusible,2008-12-19,"['FRANCE TRAVAIL', 'POLE EMPLOI']",GE,10 000 salariés et plus,['Administration publique (tutelle) des activités économiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
