siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
488530759,Unité diffusible,2006-01-27,['ACTION DEVELOPPEMENT LOISIR'],ETI,250 à 499 salariés,"[""Gestion d'installations sportives""]","[""l'entreprise appartient au champ de l'économie sociale et solidaire"", ""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
552081317,Unité diffusible,1955-01-01,['ELECTRICITE DE FRANCE'],GE,10 000 salariés et plus,"[""Production d'électricité""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
433927332,Unité diffusible,2000-12-19,"['TRANSGOURMET OPERATIONS', 'SNP', 'COVIPRODIM', 'COVIDIM 2']",ETI,2 000 à 4 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) alimentaire spécialisé divers']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
410034607,Unité diffusible,1996-11-21,"['SUEZ EAU FRANCE', 'LYONNAISE DES EAUX FRANCE', 'GESTION LYONNAISE DES EAUX""GEPARLYE""']",GE,5 000 à 9 999 salariés,"[""Captage, traitement et distribution d'eau""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
309256105,Unité diffusible,1977-01-01,"['STERIA', 'SODERI']",,,"['Programmation informatique', 'Tierce maintenance de systèmes et d’applications informatiques']",[]
632041042,Unité diffusible,1964-01-01,"['COMPASS GROUP FRANCE', 'COMPASS GROUPE FRANCE ENS SANTE SCES HOT', 'SCOLAREST']",GE,10 000 salariés et plus,['Restauration collective sous contrat'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
326820065,Unité diffusible,1968-01-01,"['SOPRA STERIA GROUP', 'SOPRA GROUP', 'SOPRA', 'SOPRA CONSEIL ASSISTANCE EN INFORMATIQUE']",GE,10 000 salariés et plus,"['Conseil en systèmes et logiciels informatiques', 'Edition de logiciels applicatifs']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
572025526,Unité diffusible,1957-01-01,"['VEOLIA EAU - COMPAGNIE GENERALE DES EAUX', 'COMPAGNIE GENERALE DES EAUX', 'COMPAGNIE GENERALE DES EAUX SAHIDE', ""SOC APPLIC HYDRAULIQ INVESTIS D'ENTREPRI""]",GE,5 000 à 9 999 salariés,"[""Captage, traitement et distribution d'eau""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
824666291,Unité diffusible,2016-12-19,['MY8 CORPORATION'],PME,,['Activités des sociétés holding'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
513599761,Unité diffusible,2009-07-01,"['E R C T B', 'E R T B', 'E2R', 'MG RENOVATION SARL']",PME,,['Construction de maisons individuelles'],[]
552044992,Unité diffusible,1955-01-01,['POMONA'],GE,5 000 à 9 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) non spécialisé', 'Commerce de gros (commerce interentreprises) de fruits et légumes']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
808022321,Unité diffusible,2014-10-27,"['ASSOCIATION UCPA SPORT LOISIRS', 'UCPA SPORT LOISIRS']",ETI,250 à 499 salariés,['Autres activités liées au sport'],"[""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
