siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
301309605,Unité diffusible,1972-10-21,"['SMACL ASSURANCES', 'SOC MUTUELLE ASSURANCE COLLECT LOCALES', 'SOCI MUTUELLE ASSURANCE COLLECT LOCALES']",GE,500 à 999 salariés,['Autres assurances'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire"", ""l'entreprise appartient au champ de l'économie sociale et solidaire""]"
552044992,Unité diffusible,1955-01-01,['POMONA'],GE,5 000 à 9 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) non spécialisé', 'Commerce de gros (commerce interentreprises) de fruits et légumes']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
380129866,Unité diffusible,1991-01-01,"['ORANGE', 'FRANCE TELECOM']",GE,10 000 salariés et plus,['Télécommunications filaires'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
433927332,Unité diffusible,2000-12-19,"['TRANSGOURMET OPERATIONS', 'SNP', 'COVIPRODIM', 'COVIDIM 2']",ETI,2 000 à 4 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) alimentaire spécialisé divers']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
552081317,Unité diffusible,1955-01-01,['ELECTRICITE DE FRANCE'],GE,10 000 salariés et plus,"[""Production d'électricité""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
476980321,Unité diffusible,1900-01-01,"['POMONA EPISAVEURS', 'ETABLISSEMENTS KUHN']",GE,1 000 à 1 999 salariés,"['Commerce de gros (commerce interentreprises) alimentaire non spécialisé', 'Commerce de gros (commerce interentreprises) non spécialisé']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
722008232,Unité diffusible,2004-09-20,['MEDTRONIC FRANCE'],ETI,500 à 999 salariés,['Commerce de gros (commerce interentreprises) de produits pharmaceutiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
542107651,Unité diffusible,1954-01-01,"['ENGIE', 'GDF SUEZ', 'GAZ DE FRANCE']",GE,2 000 à 4 999 salariés,['Commerce de combustibles gazeux par conduites'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
612030619,Unité diffusible,1982-05-05,"['JOHNSON & JOHNSON MEDICAL SAS', 'ETHICON', 'SOCIETE ETHNOR']",GE,500 à 999 salariés,['Commerce de gros (commerce interentreprises) de produits pharmaceutiques'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
339609661,Unité diffusible,1986-10-01,"['IDVERDE', 'ISS ESPACES VERTS', 'CIE GENERALE D ESPACES VERTS']",ETI,2 000 à 4 999 salariés,"[""Services d'aménagement paysager ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
